"date","TOC_Tesla","Q_HH_cfd_sum1","ADD_HH_sum1","SJPL_mgd","V_HH_af","SR_HH_cfs","CPT_cfs","Ta_HH_C","ADD_HH","Q_HH_cfd","ADD_HH_sum","Q_HH_cfd_sum","Tw_Tesla_C"
"1999-06-06",1.6,54301074732.8008,243,225.8,309800,980,1387,13.61111111,4,265673699.6256,181,24979448544.7182,13.3
"1999-06-07",1.7,54301074732.8008,243,224.6,311800,983,1386,12.22222222,5,281699976.7008,182,25261148521.419,12.2
"1999-06-13",1.7,54301074732.8008,243,224.7,334200,1020,1390,17.5,11,510796697.0976,188,27727551673.611,13.3
"1999-06-17",1.6,54301074732.8008,243,224.4,356500,2610,1388,18.88888889,15,541039481.0784,192,29956482467.6334,13.3
"1999-06-20",1.5,54301074732.8008,243,224.4,361700,3760,1396,20,18,469327342.4928,195,31417506566.1294,14.4
"1999-06-21",1.5,54301074732.8008,243,223.8,361400,3720,1396,19.16666667,19,459597102.8832,196,31877103669.0126,12.2
"1999-06-27",1.5,54301074732.8008,243,224.9,361000,911,1393,19.16666667,25,299020893.408,202,34079667421.5726,15.6
"1999-06-28",1.5,54301074732.8008,243,224.7,361700,892,1397,20.55555556,26,269475852.0672,203,34349143273.6398,14.4
"1999-07-04",1.5,54301074732.8008,243,225.4,361100,759,1392,16.38888889,32,187804504.1952,209,35681653263.3198,12.2
"1999-07-07",1.7,54301074732.8008,243,225.3,359900,191,1392,17.5,35,141190561.9872,212,36150958084.7886,13.3
"1999-07-11",1.4,54301074732.8008,243,224.9,357300,191,1237,22.5,39,112234041.5904,216,36636599118.0174,13.3
"1999-07-14",1.5,54301074732.8008,243,224.5,355400,166,1087,23.33333333,42,93145308.8256,219,36937353319.323,14.4
"1999-07-18",1.4,54301074732.8008,243,224.7,356200,128,452,19.16666667,46,59110387.33824,223,37224083426.3761,12.2
"1999-07-22",1.5,54301074732.8008,243,224.4,354900,126,400,18.33333333,50,35961686.17344,227,37390858670.5508,14.4
"1999-07-25",1.4,54301074732.8008,243,225.4,353300,128,465,18.05555556,53,27428871.24,230,37480122924.8651,14.4
"1999-07-28",1.4,54301074732.8008,243,225.1,351600,127,364,20,56,24015745.26144,233,37554440990.4395,16.7
"1999-08-02",1.3,54301074732.8008,243,226.3,348600,127,360,18.88888889,61,19499496.25824,238,37658733984.2612,15.6
"1999-08-09",1.3,54301074732.8008,243,159.4,344300,126,199,15.83333333,0,10805225.45472,243,37774396068.3927,14.4
"1999-08-16",1.3,54301074732.8008,243,262.1,338000,127,433,15.83333333,6,11896481.664,249,37881267619.4545,12.8
